trial_id,trial_gene_set
126,"('H19', 'MYL7', 'NPPB', 'TPM1', 'HSPB1', 'FTL')"
127,"('H19', 'MYL7', 'NPPB', 'TPM1', 'HSPB1', 'FTH1')"
128,"('H19', 'MYL7', 'NPPB', 'TPM1', 'HSPA8', 'FTL')"
129,"('H19', 'MYL7', 'NPPB', 'TPM1', 'HSPA8', 'FTH1')"
130,"('H19', 'MYL7', 'NPPB', 'TPM1', 'FTL', 'FTH1')"
131,"('H19', 'MYL7', 'NPPB', 'UBC', 'UBB', 'TIMP1')"
132,"('H19', 'MYL7', 'NPPB', 'UBC', 'UBB', 'HSPB1')"
133,"('H19', 'MYL7', 'NPPB', 'UBC', 'UBB', 'HSPA8')"
134,"('H19', 'MYL7', 'NPPB', 'UBC', 'UBB', 'FTL')"
135,"('H19', 'MYL7', 'NPPB', 'UBC', 'UBB', 'FTH1')"
136,"('H19', 'MYL7', 'NPPB', 'UBC', 'TIMP1', 'HSPB1')"
137,"('H19', 'MYL7', 'NPPB', 'UBC', 'TIMP1', 'HSPA8')"
138,"('H19', 'MYL7', 'NPPB', 'UBC', 'TIMP1', 'FTL')"
139,"('H19', 'MYL7', 'NPPB', 'UBC', 'TIMP1', 'FTH1')"
140,"('H19', 'MYL7', 'NPPB', 'UBC', 'HSPB1', 'HSPA8')"
141,"('H19', 'MYL7', 'NPPB', 'UBC', 'HSPB1', 'FTL')"
142,"('H19', 'MYL7', 'NPPB', 'UBC', 'HSPB1', 'FTH1')"
143,"('H19', 'MYL7', 'NPPB', 'UBC', 'HSPA8', 'FTL')"
144,"('H19', 'MYL7', 'NPPB', 'UBC', 'HSPA8', 'FTH1')"
145,"('H19', 'MYL7', 'NPPB', 'UBC', 'FTL', 'FTH1')"
146,"('H19', 'MYL7', 'NPPB', 'UBB', 'TIMP1', 'HSPB1')"
147,"('H19', 'MYL7', 'NPPB', 'UBB', 'TIMP1', 'HSPA8')"
148,"('H19', 'MYL7', 'NPPB', 'UBB', 'TIMP1', 'FTL')"
149,"('H19', 'MYL7', 'NPPB', 'UBB', 'TIMP1', 'FTH1')"
150,"('H19', 'MYL7', 'NPPB', 'UBB', 'HSPB1', 'HSPA8')"
151,"('H19', 'MYL7', 'NPPB', 'UBB', 'HSPB1', 'FTL')"
152,"('H19', 'MYL7', 'NPPB', 'UBB', 'HSPB1', 'FTH1')"
153,"('H19', 'MYL7', 'NPPB', 'UBB', 'HSPA8', 'FTL')"
154,"('H19', 'MYL7', 'NPPB', 'UBB', 'HSPA8', 'FTH1')"
155,"('H19', 'MYL7', 'NPPB', 'UBB', 'FTL', 'FTH1')"
156,"('H19', 'MYL7', 'NPPB', 'TIMP1', 'HSPB1', 'HSPA8')"
157,"('H19', 'MYL7', 'NPPB', 'TIMP1', 'HSPB1', 'FTL')"
158,"('H19', 'MYL7', 'NPPB', 'TIMP1', 'HSPB1', 'FTH1')"
159,"('H19', 'MYL7', 'NPPB', 'TIMP1', 'HSPA8', 'FTL')"
160,"('H19', 'MYL7', 'NPPB', 'TIMP1', 'HSPA8', 'FTH1')"
161,"('H19', 'MYL7', 'NPPB', 'TIMP1', 'FTL', 'FTH1')"
162,"('H19', 'MYL7', 'NPPB', 'HSPB1', 'HSPA8', 'FTL')"
163,"('H19', 'MYL7', 'NPPB', 'HSPB1', 'HSPA8', 'FTH1')"
164,"('H19', 'MYL7', 'NPPB', 'HSPB1', 'FTL', 'FTH1')"
165,"('H19', 'MYL7', 'NPPB', 'HSPA8', 'FTL', 'FTH1')"
166,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'MYL4', 'TPM1')"
167,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'MYL4', 'UBC')"
168,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'MYL4', 'UBB')"
169,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'MYL4', 'TIMP1')"
170,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'MYL4', 'HSPB1')"
171,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'MYL4', 'HSPA8')"
172,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'MYL4', 'FTL')"
173,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'MYL4', 'FTH1')"
174,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'TPM1', 'UBC')"
175,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'TPM1', 'UBB')"
176,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'TPM1', 'TIMP1')"
177,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'TPM1', 'HSPB1')"
178,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'TPM1', 'HSPA8')"
179,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'TPM1', 'FTL')"
180,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'TPM1', 'FTH1')"
181,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'UBC', 'UBB')"
182,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'UBC', 'TIMP1')"
183,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'UBC', 'HSPB1')"
184,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'UBC', 'HSPA8')"
185,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'UBC', 'FTL')"
186,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'UBC', 'FTH1')"
187,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'UBB', 'TIMP1')"
188,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'UBB', 'HSPB1')"
189,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'UBB', 'HSPA8')"
190,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'UBB', 'FTL')"
191,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'UBB', 'FTH1')"
192,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'TIMP1', 'HSPB1')"
193,"('H19', 'MYL7', 'MYL9', 'TNNC1', 'TIMP1', 'HSPA8')"
